kind,gray,vdata,t_h,only,i_nA,vg
sens,저계조,4.1,0,T6,84.24706,2.807827
truth,저계조,4.1,10,,82.14742,2.706639
cards,저계조,4.1,10,,75.13114,2.732305
law,저계조,4.1,10,,75.30709,2.726717
sens,저계조,4.1,10,T1,82.21186,2.706492
sens,저계조,4.1,10,T2,84.24703000000001,2.807827
sens,저계조,4.1,10,T3,84.21181,2.807963
sens,저계조,4.1,10,T4,84.24702,2.807827
sens,저계조,4.1,10,T5,84.223,2.807819
sens,저계조,4.1,10,T6,84.24025999999999,2.807845
truth,저계조,4.1,30,,80.81747999999999,2.643639
cards,저계조,4.1,30,,73.8455,2.66966
law,저계조,4.1,30,,74.26114,2.664084
sens,저계조,4.1,30,T1,80.92328,2.6434
sens,저계조,4.1,30,T2,84.24708,2.807827
sens,저계조,4.1,30,T3,84.1899,2.808048
sens,저계조,4.1,30,T4,84.24701,2.807827
sens,저계조,4.1,30,T5,84.20541999999999,2.807814
sens,저계조,4.1,30,T6,84.23537,2.807858
truth,저계조,4.1,100,,78.55742,2.539444
cards,저계조,4.1,100,,72.2463,2.562926
law,저계조,4.1,100,,72.39717,2.558302
sens,저계조,4.1,100,T1,78.73531,2.53905
sens,저계조,4.1,100,T2,84.24719,2.807826
sens,저계조,4.1,100,T3,84.15359,2.808189
sens,저계조,4.1,100,T4,84.24702,2.807827
sens,저계조,4.1,100,T5,84.17020000000001,2.807804
sens,저계조,4.1,100,T6,84.22567,2.807884
truth,저계조,4.1,300,,75.52873,2.406179
cards,저계조,4.1,300,,69.64010999999999,2.425287
law,저계조,4.1,300,,69.916,2.419419
sens,저계조,4.1,300,T1,75.80611999999999,2.405586
sens,저계조,4.1,300,T2,84.24707000000001,2.807827
sens,저계조,4.1,300,T3,84.10727,2.808369
sens,저계조,4.1,300,T4,84.24703000000001,2.807827
sens,저계조,4.1,300,T5,84.11078,2.807786
sens,저계조,4.1,300,T6,84.20925,2.807928
truth,저계조,4.1,1000,,71.11561,2.217294
cards,저계조,4.1,1000,,66.61719,2.22955
law,저계조,4.1,1000,,66.832,2.22426
sens,저계조,4.1,1000,T1,71.54463,2.216409
sens,저계조,4.1,1000,T2,84.24713,2.807826
sens,저계조,4.1,1000,T3,84.04095,2.808626
sens,저계조,4.1,1000,T4,84.24719,2.807826
sens,저계조,4.1,1000,T5,83.99755,2.807752
sens,저계조,4.1,1000,T6,84.17615,2.808017
truth,저계조,4.1,3000,,66.82155,2.011431
cards,저계조,4.1,3000,,63.292480000000005,2.024076
law,저계조,4.1,3000,,64.16311,2.034287
sens,저계조,4.1,3000,T1,67.40199,2.010206
sens,저계조,4.1,3000,T2,84.24719,2.807826
sens,저계조,4.1,3000,T3,83.96903,2.808906
sens,저계조,4.1,3000,T4,84.24705,2.807827
sens,저계조,4.1,3000,T5,83.87312999999999,2.807714
sens,저계조,4.1,3000,T6,84.12776,2.808147
