circuit,start,timing,KH,TAUH_s,age_h,VOBS_V,frame,i_nA
8T1C_no_T7,black,real_60Hz,0.05,0.001,0,5,5,270.451591
8T1C_no_T7,black,real_60Hz,0.05,0.001,0,5,6,270.451179
8T1C_no_T7,black,real_60Hz,0.05,0.001,0,5,7,270.452631
8T1C_no_T7,black,real_60Hz,0.05,0.001,0,5,8,270.446484
8T1C_no_T7,white,real_60Hz,0.05,0.001,0,5,1,279.109109
8T1C_no_T7,white,real_60Hz,0.05,0.001,0,5,2,270.775915
8T1C_no_T7,white,real_60Hz,0.05,0.001,0,5,3,270.464372
8T1C_no_T7,white,real_60Hz,0.05,0.001,0,5,4,270.454458
8T1C_no_T7,white,real_60Hz,0.05,0.001,0,5,5,270.446884
8T1C_no_T7,white,real_60Hz,0.05,0.001,0,5,6,270.448858
8T1C_no_T7,white,real_60Hz,0.05,0.001,0,5,7,270.44906
8T1C_no_T7,white,real_60Hz,0.05,0.001,0,5,8,270.450325
8T1C_no_T7,black,real_60Hz,0.05,0.001,1000,5,1,233.101173
8T1C_no_T7,black,real_60Hz,0.05,0.001,1000,5,2,239.42727
8T1C_no_T7,black,real_60Hz,0.05,0.001,1000,5,3,239.666623
8T1C_no_T7,black,real_60Hz,0.05,0.001,1000,5,4,239.66931
8T1C_no_T7,black,real_60Hz,0.05,0.001,1000,5,5,239.671561
8T1C_no_T7,black,real_60Hz,0.05,0.001,1000,5,6,239.676469
8T1C_no_T7,black,real_60Hz,0.05,0.001,1000,5,7,239.674983
8T1C_no_T7,black,real_60Hz,0.05,0.001,1000,5,8,239.674542
8T1C_no_T7,white,real_60Hz,0.05,0.001,1000,5,1,247.630455
8T1C_no_T7,white,real_60Hz,0.05,0.001,1000,5,2,239.972775
8T1C_no_T7,white,real_60Hz,0.05,0.001,1000,5,3,239.685169
8T1C_no_T7,white,real_60Hz,0.05,0.001,1000,5,4,239.672775
8T1C_no_T7,white,real_60Hz,0.05,0.001,1000,5,5,239.676302
8T1C_no_T7,white,real_60Hz,0.05,0.001,1000,5,6,239.672912
8T1C_no_T7,white,real_60Hz,0.05,0.001,1000,5,7,239.676467
8T1C_no_T7,white,real_60Hz,0.05,0.001,1000,5,8,239.670255
8T1C_no_T7,black,real_60Hz,0.05,0.001,3000,5,1,222.806443
8T1C_no_T7,black,real_60Hz,0.05,0.001,3000,5,2,228.923727
8T1C_no_T7,black,real_60Hz,0.05,0.001,3000,5,3,229.158506
8T1C_no_T7,black,real_60Hz,0.05,0.001,3000,5,4,229.161378
